example_id                                     | status | run_time        |
---------------------------------------------- | ------ | --------------- |
./spec/docdata/order/amount_spec.rb[1:1:1]     | passed | 0.00064 seconds |
./spec/docdata/order/amount_spec.rb[1:1:2]     | passed | 0.00007 seconds |
./spec/docdata/order/amount_spec.rb[1:1:3]     | passed | 0.00007 seconds |
./spec/docdata/order/amount_spec.rb[1:2:1]     | passed | 0.00007 seconds |
./spec/docdata/order/amount_spec.rb[1:2:2]     | passed | 0.00005 seconds |
./spec/docdata/order/amount_spec.rb[1:2:3]     | passed | 0.00007 seconds |
./spec/docdata/order/amount_spec.rb[1:2:4]     | passed | 0.00006 seconds |
./spec/docdata/order/amount_spec.rb[1:3:1]     | passed | 0.00009 seconds |
./spec/docdata/order/amount_spec.rb[1:3:2]     | passed | 0.00005 seconds |
./spec/docdata/order/amount_spec.rb[1:3:3]     | passed | 0.00005 seconds |
./spec/docdata/order/amount_spec.rb[1:4:1]     | passed | 0.00007 seconds |
./spec/docdata/order/amount_spec.rb[1:4:2]     | passed | 0.00006 seconds |
./spec/docdata/order/amount_spec.rb[1:4:3]     | passed | 0.00005 seconds |
./spec/docdata/order/amount_spec.rb[1:4:4]     | passed | 0.00006 seconds |
./spec/docdata/order/client_spec.rb[1:1:1]     | passed | 0.00705 seconds |
./spec/docdata/order/client_spec.rb[1:1:2]     | passed | 0.00634 seconds |
./spec/docdata/order/client_spec.rb[1:1:3]     | passed | 0.00507 seconds |
./spec/docdata/order/client_spec.rb[1:2:1]     | passed | 0.00228 seconds |
./spec/docdata/order/client_spec.rb[1:2:2]     | passed | 0.00366 seconds |
./spec/docdata/order/client_spec.rb[1:2:3]     | passed | 0.00332 seconds |
./spec/docdata/order/client_spec.rb[1:3:1]     | passed | 0.00212 seconds |
./spec/docdata/order/client_spec.rb[1:3:2]     | passed | 0.00392 seconds |
./spec/docdata/order/client_spec.rb[1:3:3]     | passed | 0.00446 seconds |
./spec/docdata/order/client_spec.rb[1:4:1]     | passed | 0.00233 seconds |
./spec/docdata/order/client_spec.rb[1:4:2]     | passed | 0.0042 seconds  |
./spec/docdata/order/client_spec.rb[1:4:3]     | passed | 0.004 seconds   |
./spec/docdata/order/client_spec.rb[1:5:1]     | passed | 0.00243 seconds |
./spec/docdata/order/client_spec.rb[1:5:2]     | passed | 0.00554 seconds |
./spec/docdata/order/client_spec.rb[1:5:3]     | passed | 0.00501 seconds |
./spec/docdata/order/request_spec.rb[1:1:1]    | passed | 0.00086 seconds |
./spec/docdata/order/request_spec.rb[1:1:2]    | passed | 0.00063 seconds |
./spec/docdata/order/request_spec.rb[1:1:3]    | passed | 0.00085 seconds |
./spec/docdata/order/request_spec.rb[1:2:1]    | passed | 0.00043 seconds |
./spec/docdata/order/request_spec.rb[1:2:2]    | passed | 0.0002 seconds  |
./spec/docdata/order/request_spec.rb[1:3:1]    | passed | 0.00019 seconds |
./spec/docdata/order/request_spec.rb[1:4:1]    | passed | 0.00041 seconds |
./spec/docdata/order/request_spec.rb[1:5:1]    | passed | 0.00018 seconds |
./spec/docdata/order/response_spec.rb[1:1:1:1] | passed | 0.00097 seconds |
./spec/docdata/order/response_spec.rb[1:1:1:2] | passed | 0.00102 seconds |
./spec/docdata/order/response_spec.rb[1:1:2:1] | passed | 0.00098 seconds |
./spec/docdata/order/response_spec.rb[1:1:2:2] | passed | 0.00093 seconds |
./spec/docdata/order/response_spec.rb[1:1:3:1] | passed | 0.001 seconds   |
